Ground truth, calculated calc radius, calculated supposed radius
0.062499999999999965, 0.06255850043468973, 0.06201212004139298
0.0883883476483184, 0.08864868084191725, 0.08787443112737667
0.12499999999999994, 0.1250288901823462, 0.12393689894667706
0.1767766952966368, 0.1772352378443966, 0.17568728099941813
0.24999999999999994, 0.2500137521700409, 0.24783015423704902
0.3535533905932737, 0.35369327865888656, 0.35060415293884456
0.49999999999999994, 0.5000054936343795, 0.49563849000794674
0.7071067811865475, 0.7073709995550602, 0.7011928839950956
1.0, 0.9999999823397988, 0.9912660712030066
1.4142135623730951, 1.4132465978423445, 1.4009034274244325
2.0000000000000004, 1.999994462268102, 1.9825266880520915
2.8284271247461907, 2.8264893022435094, 2.801802995412655
4.000000000000001, 3.9999861733370796, 3.965050648933788
5.656854249492382, 5.652976657768774, 5.603604061109531
8.000000000000004, 7.999970971075425, 7.930099934283197
11.313708498984766, 11.294076342501272, 11.195434881611689
16.000000000000007, 15.999941254351587, 15.860199186774311
22.627416997969533, 22.779577213695998, 22.580622407064297
32.00000000000002, 31.999882164803555, 31.720398032652586
45.25483399593907, 44.799834952119355, 44.40855716779454
64.00000000000006, 63.999764157657296, 63.44079589485717
90.50966799187816, 89.59966978141742, 88.8171142138405
128.0000000000001, 134.3995046380091, 133.2256712869417
181.01933598375635, 191.99929232012764, 190.32238753306217
256.0000000000003, 268.79900923507773, 266.4513425333005
362.03867196751276, 335.9987615377061, 333.06417816053823
512.0000000000007, 447.99834871057305, 444.08557087440477
724.0773439350256, 671.9975230590362, 666.1283563048434
1024.0000000000014, 671.9975230590362, 666.1283563048434
1448.1546878700515, 671.9975230590362, 666.1283563048434
2048.000000000003, 671.9975230590362, 666.1283563048434
